at,userName,score,content,sentiment_polarity,sentiment
2024-02-05 02:38:53,Qowwi Fuadi Rohman,3,Give me a dark mode,-0.15,negatif
2024-02-04 10:36:26,smx klasik purwokerto,1,"Tolol banget akun keblokir sementara udah cara ini itu habis pulsa banyak eh malah disuruh nginget nginget jam, hari terakhir transaksi bego amat seabank duh jelas pake bank BCA gampang, ga ribet uang kita ga hilang",-0.3,negatif
2024-02-04 08:19:28,Ruccy Petruccy,5,"alhamdulilah ada seabank,bisa jadi back-up an disaat yg lain down..",-0.15555555555555559,negatif
2024-01-27 03:23:10,Nadiya Hemalia,1,Malas lahh bad mood sama apk ini.. ga bisa di gunakan karena karena belum di perbaharui. Padahal udh diperbaharui!!!!! Bahkan sampe hapus dan download ulang tapi tetap ga bisa top up.....,-0.25,negatif
2024-01-26 10:36:11,Dodi Permana,5,Bagus Sekali Game Nya,-0.4,negatif
2024-01-23 16:34:08,Kiki Rizky Ananda Amirullah,5,Sekarang sering error :(,-0.75,negatif
2024-01-23 08:07:28,agung arrahman,2,"semakin ke sini semakin lemot aplikasi nya, transaksi sering gagal, loading terlalu lama, saran saya aplikasi nya di buat ringan dan jangan sering trouble",-0.2,negatif
2024-01-14 14:30:55,Bramono aji Prasetyo,1,"Aplikasi paling sampah, akun saya dan akun ibuk saya diblokir dengan alasan verifikasi tidak sesuai. Nelpon call center kaya dibuat ngemis. Aplikasi yg malah nambah masalah, saldo yang lumayan mau dipake untuk emergency ga bisa di apa apain",-0.1,negatif
2024-01-09 12:36:30,Sandi Ramadhan,1,"Aneh banget tiba-tiba di blokir.. minimal dipermudah lah. Jangan ribet-ribet, nunggu lama juga.. lapor ojk nih",-0.1,negatif
2024-01-09 08:02:29,Yustira Rosmala,1,"Sangattt sanggatt kecewa ,dana tidak kembali ,dan tf pembelian kuota data pun tidak masuk,ini kah cara kerja nya,sudah meminta bantuan call center pun hrus menunggu ,dri tagl 5 sampai tgl 9 ini tidak da jawaban,dan bukti transaksi pun di hilangkan dari riwayat transaksi ketika saya cek kembali selama 2 hari ini tidak membuka aplikasi nya, terimakasih atas pelayanan nya untuk kami org yg membutuhkan walopun hanya nominal kecil",-0.1,negatif
2024-01-07 11:00:53,Syarifah Ainikamilah,1,Gimana ya ini susah banget mulihin akun malah dibilang akun di blokir parah banget kalo gak bisa ngasih Kartu ATM minimal jangan nyusahin pas pemulihan kan kalo hp nya ilang jadi susah. Mohon banget ni pencerahannya udah di telpon cs malah gak nyambung.Bangs*t,-0.1,negatif
2024-01-06 03:30:51,Indah Pratiwi,1,"Salah pin harus k aplikasi sedangkan aplikasinya susah banget di download,telpon call center tp masih di tujukan k aplikasi. Padahal berharap dari call center bisa dapet solusi yang terbaik selain harus download,udah ribet dan bertele tele. Kalo aplikasi bisa di download trs ngapain juga telp call center,buang2 pulsa ja.",-0.1,negatif
2024-01-04 09:27:10,Desi Tri Utami,5,Udah gak bisa top up Gopay :(,-0.125,negatif
2023-12-30 05:22:56,Test Rick93,1,"Aplikasi sampah, CS slow respon",-0.30000000000000004,negatif
2023-12-30 04:59:55,T. Pertiwi,5,Dapatkan bonus 10.000 gunakan kode reff PTQQMX Minimal isi saldo cuma 50rb selama 3 hari untuk klaim bonus 10.000,-0.1,negatif
2023-12-29 14:51:36,Nancyta Willy,1,"Skrg gw kasih bintang 1, sorry to say.. tiba2 akun gw lu blokir min.. ga ada solusi sampe skrg.. jengkelin bgt.. mana msh ada saldo ratusan ribu",-0.5,negatif
2023-12-27 00:14:31,Djaya Ridho,5,wet cepet sekali buat transver,-0.1,negatif
2023-12-25 05:39:55,jhon visco (jho_vhi7),1,baru install ..pas dibaca komen bnyak negatif dan saldo orang diblokir.hubungi center juga ribet klau ada masalah. takut ah juga pakai apk ni.nanti duit sya hilang pula...apk parah juga ni..delete lagilah apknya...,-0.1,negatif
2023-12-25 03:50:22,Mulyadi Rizky,1,"Sanggaaaat buruk jangan down load,,apk maling kalau ada saldo nya pasti susah log in",-0.15555555555555559,negatif
2023-12-24 12:32:55,Leo Agustin,1,"Aplikasi sampah bnget , hati2 udah naruh saldo malah gak bisa login , giliran bisa login dimintain foto ktp , setelah foto ktp di bilang ktp sudah terdaftar, tlfn Call Center Jawabanya Di blokir sampai 3 bulan saya nungguin juga gk di buka2. Sampah banget. Bahaya kalau naruh Uang banyak2. Udah lah st bnget.",-0.1,negatif
2023-12-22 04:54:09,Wahyu Christian Christ,1,"Tidak ada call center online, Jadi kita telepon call center terbilang cukup mahal, cs nya juga telepon belat belit ngom nya... Jd cukup lama dn pulsa banyak habiss... Dan anehnya lagi akun di blokir seenaknya saja, Sudah di hbgi call center dan cs minta verterfikasi pemilik tpi ngom ny belat belit dn pulsa lmyn bnyk habiss... Tolong saya sebagai nasabah kecewa betul ???",-0.10000000000000002,negatif
2023-12-19 15:50:15,Lutfi Yaman,5,"Sangat membantu banget, apalagi kalo udah bisa sapet limit pinjaman duh wkwk",-0.3,negatif
