at,userName,score,content,sentiment_polarity,sentiment
2024-02-10 00:58:12,novery budiman,5,ok bingits...,0.5,positif
2024-02-09 22:51:10,Daryanto Perwira,5,ok,0.5,positif
2024-02-09 22:48:56,Andhy boca,5,ok,0.5,positif
2024-02-09 19:51:42,irwan setiawan,5,ok,0.5,positif
2024-02-09 17:52:12,Afif Nasution,5,gratis biaya admin good,0.7,positif
2024-02-09 17:43:03,Rhevie Pardiansya,5,ok baguus memuaskn,0.5,positif
2024-02-09 16:51:42,Bambang Suprapto,5,ok,0.5,positif
2024-02-09 16:33:03,Harwandiyarto Soewondo,4,top up tolong bisa pakai VA,0.5,positif
2024-02-09 15:25:03,Feri zal,5,good,0.7,positif
2024-02-09 14:55:31,mul iyadi,5,Good's......👍👍👍,0.7,positif
2024-02-09 13:53:24,Ason Ajja,5,ok dan mudah,0.5,positif
2024-02-09 13:00:18,Wanto Bsd,5,"ok, sangat membantu saya untuk bertransaksi",0.5,positif
2024-02-09 12:19:54,Iyar Bachtiar,5,ok,0.5,positif
2024-02-09 12:00:48,Sitinurhasanah Sanah,5,good,0.7,positif
2024-02-09 11:44:49,ashafa nabilah,5,"aplikasi ok, gratis biaya transfer, dapet bunga tiap hari",0.5,positif
2024-02-09 10:57:02,Erlina Balie,5,good,0.7,positif
2024-02-09 10:00:25,Antok Sugiyarto,5,ok,0.5,positif
2024-02-09 09:12:37,Listiya Pramufidianti,4,"ada kuota untuk free admin ke bank lain terus juga lebih mudah untuk pembayaran shopee, susah buat ambil cash karena ga semua ATM ada seabank",0.4,positif
2024-02-09 09:07:22,Marllina,5,good,0.7,positif
2024-02-09 08:45:50,Titin Ratnasari,5,cepat dan cocok utk pengiriman top up dan transfer buat bisnis,0.5,positif
2024-02-09 08:29:15,hari santoso,5,good,0.7,positif
2024-02-09 08:26:34,Bintang Cinta,5,good,0.7,positif
2024-02-09 08:02:28,Dana Alimudin,5,good jobs,0.7,positif
2024-02-09 07:24:42,arief fadil,5,top,0.5,positif
2024-02-09 05:28:42,Asep Mulyadi,5,seabank ok... mantap... aman... nyaman...,0.5,positif
2024-02-09 05:23:01,Dhony Andrean,5,ok,0.5,positif
2024-02-09 05:00:50,Nayla Fauzy,5,"Awal mula kenal SEABANK ini tahun 2020 sampai sekarang apk seabank jadi favorid aku,apk ini word it banget sih dari sekian banyaknya saya buat apk rekening cuma Seabank yang mantap mau tf ke seluruh bank gratis tanpa biaya adminnya,pendaftarannya mudah dan cocok juga buat tanbungan pokonya the best banget apk seabank ini.Kalau bisa untuk khusus apk seabank ini ayo lah buat kartu fisiknya saya sudah hampir 4thn menggunakannya jadi jika bisa tolong terbitkan kartu fisiknya saya ingin mempunyainya.",1.0,positif
2024-02-09 04:55:02,Meyna Setyawati,5,memudahkan segala pembayaran tanpa ribet dengan gratis tanpa biaya pelayanan. Best aplikasi 👍👍😍,1.0,positif
2024-02-09 04:50:25,Indra Permana,5,nice bank in Indonesia!,0.75,positif
2024-02-09 03:59:39,Hasani Hasani,5,good,0.7,positif
2024-02-09 03:49:20,Jaja Sutarja,5,ok bgt,0.5,positif
2024-02-09 02:17:14,zacky maulidi27,5,sangat mudah dalam bertransaksi dan juga terdapat free transfer ke semua bank banyak banget,0.4,positif
2024-02-09 01:53:41,DEDE IRFAN PERMANA,5,ok,0.5,positif
2024-02-09 01:46:54,boboby bobobonobo,5,transaksi gampang simpel ok,0.5,positif
2024-02-09 01:45:58,Muhammad Azzam,5,seabank sangat membantu sekali. biaya transfer gratis. pokok nya seabank top bget,0.5,positif
2024-02-09 01:24:47,Handaru Kusumawardhana,5,ok,0.5,positif
2024-02-09 00:36:46,Aditya Pramana,5,"yaa sejauh ini worth it lah ya, semoga bisa berkembang lebih baik lagi",0.3,positif
2024-02-08 23:48:07,Gunawan Gun,4,good,0.7,positif
2024-02-08 22:25:14,Shofi Masruri,5,"top buat sea bank,sangat2 membantu saya soal keuangan",0.5,positif
2024-02-08 22:03:37,Fahmi Mariadi,5,good,0.7,positif
2024-02-08 21:29:39,Indralis Wardana,5,Ok,0.5,positif
2024-02-08 20:03:43,paijo dae,5,good,0.7,positif
2024-02-08 19:01:19,Stevan Versen,5,good,0.7,positif
2024-02-08 18:12:03,Zakin _,5,nice,0.6,positif
2024-02-08 15:15:30,Indra Satria,5,top bnget sangat membantu dan mudah bnget,0.5,positif
2024-02-08 14:36:08,alisha31 Nurwahid,5,the best,1.0,positif
2024-02-08 14:13:32,Kali ngga,5,ok mantap,0.5,positif
2024-02-08 13:57:15,hendriek wong,5,gampang dan cepat serta selalu ok,0.5,positif
2024-02-08 13:27:00,Ardy Andika,5,"apknya bagus buat TF ke e wallet atau bang, tapi tolong tambah in fitur buat top up/isi saldo di Indomaret/Alfamart🙏🙏🙏",0.5,positif
2024-02-08 12:44:43,Nurjanah Janah,4,top,0.5,positif
2024-02-08 10:38:13,Amil wandy,5,"nggak ribet, mantep full",0.35,positif
2024-02-08 09:16:41,Rony Hamdani,5,is the best tanpa ribet,1.0,positif
2024-02-08 08:44:06,Green 13,5,ok,0.5,positif
2024-02-08 08:21:10,Febriyan Kurniawan,5,TOP,0.5,positif
2024-02-08 06:31:52,Chalik Aras Wadi,5,good,0.7,positif
2024-02-08 04:32:20,Heri Yanagunawan,5,good aplikasi ini sangat membantu buat saya,0.7,positif
2024-02-08 04:13:54,ALIT HENDRANATA,5,good,0.7,positif
2024-02-08 03:55:43,Erfan Solehudin,5,the best,1.0,positif
2024-02-08 03:54:00,Hasan Nul Huda,5,Nice App...,0.6,positif
2024-02-08 03:06:41,Wiyati Sopiah,5,love pokonya,0.5,positif
2024-02-08 02:24:23,Ilham Mubarok,5,nice 💸,0.6,positif
2024-02-08 01:08:24,Zeet Studio,5,free adm,0.4,positif
2024-02-07 23:48:58,Gungun Gunawan,5,"sea bank ok saya rekomendasikan buat teman"" nabung di seaBank",0.5,positif
2024-02-07 23:30:50,Hendra Chrisandy Purba,5,Ok,0.5,positif
2024-02-07 23:10:10,Dani Cici,1,Banyak kendala nya banyak promo nipu nya ga puas aplikasi ini super banyak kekurangan super super kURANG...di iklan promo bagus pas di aplikasi nya bohong super kuranh super bohong,0.3333333333333333,positif
2024-02-07 19:17:55,Alena Chanel,5,"rekomendasi bangettt,top mantap is the best",1.0,positif
2024-02-07 18:23:37,nana Nur,5,top,0.5,positif
2024-02-07 17:43:12,Akbar nurdin,5,good is the best,0.85,positif
2024-02-07 15:44:11,rudy lumia,5,Terima kasih seabank di permudah sekali hidup ku dengan masalah transferan.dan belanja olshop.siapa yang gak mau free admin 100x perbulan juga topup wallet.terus tingkatkan lagi kedepan nya,0.4,positif
2024-02-07 15:12:46,Dede Firman,5,ok,0.5,positif
2024-02-07 14:17:35,Ahyar Rosidi,3,good,0.7,positif
2024-02-07 13:03:56,Dwi Kurniawan,5,Ok,0.5,positif
2024-02-07 12:29:16,Isa Am,1,Gak bisa top up gopay,0.5,positif
2024-02-07 12:00:52,Kenn Al maher,5,ok banget,0.5,positif
2024-02-07 11:32:48,Alika Ni,5,"ok banget, memudahkan transfer kemana aja free admin",0.45,positif
2024-02-07 11:20:24,Ilham Basori,5,sangat suka banyak free transfer tanpa biaya admin,0.4,positif
2024-02-07 10:43:51,Asti Nurjanah,4,top,0.5,positif
